activity,tolerance_bpm,n_error_windows,observed,permuted_mean,permuted_sd,excess,exceeds_null
sitting,3.0,332,0.1476,0.1167,0.0177,0.0309,False
sitting,8.0,332,0.3133,0.2681,0.0181,0.0452,True
sitting,20.0,332,0.5482,0.5708,0.018,-0.0226,False
stairs,3.0,2175,0.389,0.1676,0.0068,0.2213,True
stairs,8.0,2175,0.6262,0.3826,0.0082,0.2436,True
stairs,20.0,2175,0.8791,0.773,0.007,0.1061,True
table soccer,3.0,1732,0.1207,0.1206,0.0073,0.0001,False
table soccer,8.0,1732,0.2852,0.2907,0.0091,-0.0055,False
table soccer,20.0,1732,0.627,0.6289,0.0066,-0.0019,False
cycling,3.0,1518,0.1574,0.1104,0.0087,0.047,True
cycling,8.0,1518,0.3043,0.2702,0.0067,0.0342,True
cycling,20.0,1518,0.5837,0.5952,0.0086,-0.0116,False
driving,3.0,2201,0.1327,0.1254,0.004,0.0073,False
driving,8.0,2201,0.3189,0.299,0.0096,0.0199,True
driving,20.0,2201,0.6579,0.6469,0.0068,0.0109,False
lunch,3.0,4779,0.132,0.1119,0.0036,0.0202,True
lunch,8.0,4779,0.29,0.2708,0.0053,0.0192,True
lunch,20.0,4779,0.6001,0.5959,0.0046,0.0042,False
walking,3.0,2951,0.551,0.3609,0.0074,0.1901,True
walking,8.0,2951,0.7059,0.6457,0.0053,0.0601,True
walking,20.0,2951,0.92,0.9171,0.0028,0.0029,False
working,3.0,1797,0.1052,0.1029,0.0078,0.0023,False
working,8.0,1797,0.266,0.2471,0.0082,0.0189,True
working,20.0,1797,0.5492,0.5461,0.0072,0.0031,False
ALL (excl. transient),3.0,17485,0.2334,0.1355,0.0023,0.0979,True
ALL (excl. transient),8.0,17485,0.4044,0.3173,0.0021,0.0871,True
ALL (excl. transient),20.0,17485,0.6911,0.6727,0.0027,0.0185,True
