activity,method,n_windows,pearson_r,bias_bpm,loa_low,loa_high,rmse,mae
sitting,b2-zp,4569,0.8621,-1.209,-15.295,12.878,7.287,2.804
sitting,mask+tracker,4569,0.9119,-0.662,-11.773,10.448,5.706,2.636
stairs,b2-zp,3239,0.1961,-34.134,-109.201,40.932,51.299,38.092
stairs,mask+tracker,3239,0.1301,-54.739,-114.443,4.966,62.641,55.613
table soccer,b2-zp,2310,-0.0588,-29.451,-87.806,28.903,41.874,33.151
table soccer,mask+tracker,2310,0.0651,-24.947,-75.551,25.656,35.898,26.906
cycling,b2-zp,3473,0.3134,-27.864,-104.554,48.827,48.03,29.363
cycling,mask+tracker,3473,0.3946,-35.656,-107.196,35.884,51.022,36.567
driving,b2-zp,6843,0.3681,-10.687,-52.112,30.737,23.682,13.216
driving,mask+tracker,6843,0.6992,-2.256,-27.062,22.551,12.855,7.489
lunch,b2-zp,13554,0.2826,-12.355,-54.823,30.114,24.942,14.584
lunch,mask+tracker,13554,0.7789,-2.888,-23.488,17.713,10.9,6.742
walking,b2-zp,4697,0.0568,-25.077,-82.552,32.399,38.582,28.329
walking,mask+tracker,4697,0.1334,-24.022,-69.479,21.434,33.389,24.544
working,b2-zp,8497,0.3364,-6.633,-40.146,26.881,18.339,8.749
working,mask+tracker,8497,0.7249,-2.442,-20.867,15.984,9.712,4.973
POOLED (excl. transient),b2-zp,47182,0.399,-14.743,-66.336,36.85,30.17,17.173
POOLED (excl. transient),mask+tracker,47182,0.4016,-11.656,-58.755,35.444,26.708,14.444
