method,subject,n_windows,mae,rmse,clipped_windows,oracle
b0,S1,4603,19.535,22.534,351,False
b1,S1,4603,1.61,2.251,351,True
b2,S1,4603,13.394,20.654,351,False
b2_noclip,S1,4252,13.014,20.086,351,False
b0,S2,4099,12.703,15.61,234,False
b1,S2,4099,1.641,2.205,234,True
b2,S2,4099,15.395,24.827,234,False
b2_noclip,S2,3865,14.653,24.005,234,False
b0,S3,4367,11.993,15.858,170,False
b1,S3,4367,1.584,2.21,170,True
b2,S3,4367,19.445,29.836,170,False
b2_noclip,S3,4197,19.155,29.336,170,False
b0,S4,4572,9.894,13.084,524,False
b1,S4,4572,1.494,2.025,524,True
b2,S4,4572,22.234,29.853,524,False
b2_noclip,S4,4048,21.36,29.189,524,False
b0,S5,4649,39.249,43.837,662,False
b1,S5,4649,0.944,1.28,662,True
b2,S5,4649,47.146,62.28,662,False
b2_noclip,S5,3987,43.65,59.287,662,False
b0,S6,2622,32.164,38.467,435,False
b1,S6,2622,1.618,2.403,435,True
b2,S6,2622,28.563,46.43,435,False
b2_noclip,S6,2187,24.768,43.167,435,False
b0,S7,4668,14.38,18.78,279,False
b1,S7,4668,1.852,2.503,279,True
b2,S7,4668,9.707,18.672,279,False
b2_noclip,S7,4389,9.549,18.341,279,False
b0,S8,4037,18.191,20.06,421,False
b1,S8,4037,2.022,2.79,421,True
b2,S8,4037,17.427,23.977,421,False
b2_noclip,S8,3616,16.399,22.647,421,False
b0,S9,4277,16.476,20.086,566,False
b1,S9,4277,1.178,1.633,566,True
b2,S9,4277,26.881,35.814,566,False
b2_noclip,S9,3711,24.544,33.501,566,False
b0,S10,5321,11.48,15.85,485,False
b1,S10,5321,0.85,1.477,485,True
b2,S10,5321,15.903,27.552,485,False
b2_noclip,S10,4836,14.499,26.334,485,False
b0,S11,4521,22.25,27.492,600,False
b1,S11,4521,1.612,2.214,600,True
b2,S11,4521,27.008,40.817,600,False
b2_noclip,S11,3921,26.062,39.837,600,False
b0,S12,3954,21.449,24.243,371,False
b1,S12,3954,0.996,1.462,371,True
b2,S12,3954,15.512,22.152,371,False
b2_noclip,S12,3583,14.911,21.62,371,False
b0,S13,4565,17.591,22.054,406,False
b1,S13,4565,1.671,2.267,406,True
b2,S13,4565,10.415,20.73,406,False
b2_noclip,S13,4159,9.616,19.594,406,False
b0,S14,4476,13.893,18.69,231,False
b1,S14,4476,1.982,2.837,231,True
b2,S14,4476,16.167,26.886,231,False
b2_noclip,S14,4245,15.961,26.663,231,False
b0,S15,3966,17.246,20.649,458,False
b1,S15,3966,1.273,1.827,458,True
b2,S15,3966,15.659,25.448,458,False
b2_noclip,S15,3508,13.737,22.944,458,False
