activity,label,n_error_windows_before,n_error_windows_after,share_before,share_after,share_change,count_before,count_after
sitting,floor,332,336,0.0,0.0,0.0,0,0
sitting,acc_locked,332,336,0.1476,0.1101,-0.0375,49,37
sitting,harmonic,332,336,0.1265,0.131,0.0044,42,44
sitting,other,332,336,0.7259,0.7589,0.033,241,255
stairs,floor,2175,2093,0.0009,0.0005,-0.0004,2,1
stairs,acc_locked,2175,2093,0.389,0.1151,-0.2738,846,241
stairs,harmonic,2175,2093,0.0713,0.0989,0.0276,155,207
stairs,other,2175,2093,0.5389,0.7855,0.2466,1172,1644
table soccer,floor,1732,1746,0.0012,0.0011,-0.0,2,2
table soccer,acc_locked,1732,1746,0.1201,0.1014,-0.0187,208,177
table soccer,harmonic,1732,1746,0.112,0.1054,-0.0066,194,184
table soccer,other,1732,1746,0.7667,0.7921,0.0254,1328,1383
cycling,floor,1518,1396,0.0007,0.0,-0.0007,1,0
cycling,acc_locked,1518,1396,0.1568,0.1103,-0.0465,238,154
cycling,harmonic,1518,1396,0.0711,0.0838,0.0127,108,117
cycling,other,1518,1396,0.7714,0.8059,0.0345,1171,1125
driving,floor,2201,2249,0.0009,0.0018,0.0009,2,4
driving,acc_locked,2201,2249,0.1327,0.1143,-0.0184,292,257
driving,harmonic,2201,2249,0.1172,0.1169,-0.0003,258,263
driving,other,2201,2249,0.7492,0.767,0.0178,1649,1725
lunch,floor,4779,4777,0.0033,0.004,0.0006,16,19
lunch,acc_locked,4779,4777,0.1318,0.1051,-0.0267,630,502
lunch,harmonic,4779,4777,0.1383,0.1369,-0.0014,661,654
lunch,other,4779,4777,0.7265,0.754,0.0275,3472,3602
walking,floor,2951,2663,0.0007,0.0008,0.0001,2,2
walking,acc_locked,2951,2663,0.551,0.2606,-0.2904,1626,694
walking,harmonic,2951,2663,0.0508,0.0924,0.0415,150,246
walking,other,2951,2663,0.3975,0.6463,0.2488,1173,1721
working,floor,1797,1814,0.0056,0.0055,-0.0001,10,10
working,acc_locked,1797,1814,0.1046,0.0943,-0.0104,188,171
working,harmonic,1797,1814,0.1247,0.1257,0.001,224,228
working,other,1797,1814,0.7652,0.7745,0.0094,1375,1405
ALL (excl. transient),floor,17485,17074,0.002,0.0022,0.0002,35,38
ALL (excl. transient),acc_locked,17485,17074,0.2332,0.1308,-0.1024,4077,2233
ALL (excl. transient),harmonic,17485,17074,0.1025,0.1138,0.0113,1792,1943
ALL (excl. transient),other,17485,17074,0.6623,0.7532,0.0909,11581,12860
