skin_type,subject,n_in_stratum,mae_b2zp,mae_mask_tracker,mape_b2zp,mape_mask_tracker
2,S15,1,14.38,13.865,16.155,14.549
3,S1,11,12.253,13.005,15.184,15.906
3,S2,11,14.288,14.86,15.975,16.003
3,S3,11,18.51,13.676,19.49,14.244
3,S5,11,45.874,28.74,34.653,20.227
3,S6,11,26.616,18.39,21.273,13.997
3,S7,11,8.746,11.454,9.485,11.897
3,S8,11,16.844,14.688,21.832,18.153
3,S11,11,26.182,25.952,22.883,22.485
3,S12,11,14.842,13.471,19.219,16.676
3,S13,11,8.98,10.405,9.333,10.262
3,S14,11,15.211,11.188,16.421,11.78
4,S4,3,21.349,15.545,23.181,16.499
4,S9,3,26.046,24.247,27.705,24.631
4,S10,3,14.514,7.505,14.639,7.06
