method,activity,n_folds,n_windows,mae,mae_sd_across_folds,mae_worst_fold,mape,rmse
b2-zp,sitting,15,4569,2.817,1.93,7.528,4.512,6.396
b2-zp,stairs,15,3239,38.167,17.358,70.03,31.627,48.069
b2-zp,table soccer,15,2310,33.271,18.402,79.581,34.854,38.695
b2-zp,cycling,15,3473,29.747,23.865,93.521,23.401,42.825
b2-zp,driving,15,6843,13.424,10.525,47.487,15.27,20.99
b2-zp,lunch,14,13554,14.259,8.287,35.295,16.426,22.014
b2-zp,walking,14,4697,29.606,15.952,59.064,28.568,36.497
b2-zp,working,14,8497,8.622,7.091,28.734,10.321,15.673
b2-zp,POOLED (incl. transient),15,64697,18.976,9.404,45.874,19.162,29.726
b2-zp,POOLED (excl. transient),15,47182,17.348,8.632,42.299,17.592,28.654
+tracker,sitting,15,4569,2.65,1.431,6.146,4.291,5.177
+tracker,stairs,15,3239,52.545,19.932,90.937,44.351,57.054
+tracker,table soccer,15,2310,29.077,23.142,89.152,29.785,31.288
+tracker,cycling,15,3473,42.906,30.995,122.076,33.505,50.175
+tracker,driving,15,6843,7.729,4.592,16.112,9.301,11.656
+tracker,lunch,14,13554,9.21,4.932,17.779,11.061,14.118
+tracker,walking,14,4697,31.44,17.546,51.119,30.427,34.869
+tracker,working,14,8497,5.623,3.27,11.927,6.82,9.969
+tracker,POOLED (incl. transient),15,64697,17.528,6.825,34.124,17.487,28.031
+tracker,POOLED (excl. transient),15,47182,15.979,5.971,30.369,15.788,27.214
+mask,sitting,15,4569,2.814,1.962,7.642,4.543,6.293
+mask,stairs,15,3239,37.371,16.257,68.697,31.174,47.784
+mask,table soccer,15,2310,33.259,18.404,80.707,34.85,38.689
+mask,cycling,15,3473,27.379,21.691,83.448,21.777,40.843
+mask,driving,15,6843,13.564,10.229,46.727,15.461,21.255
+mask,lunch,14,13554,14.252,8.227,35.384,16.427,22.077
+mask,walking,14,4697,28.976,17.336,61.448,27.718,36.851
+mask,working,14,8497,8.734,7.265,29.692,10.443,15.876
+mask,POOLED (incl. transient),15,64697,18.615,9.235,45.333,18.862,29.598
+mask,POOLED (excl. transient),15,47182,17.068,8.462,41.634,17.385,28.478
+mask+tracker,sitting,15,4569,2.635,1.568,6.889,4.265,5.089
+mask+tracker,stairs,15,3239,56.006,22.52,99.209,45.872,59.256
+mask+tracker,table soccer,15,2310,26.735,21.424,78.69,27.725,29.115
+mask+tracker,cycling,15,3473,36.958,28.611,94.321,29.879,42.067
+mask+tracker,driving,15,6843,7.501,5.437,21.392,8.917,10.605
+mask+tracker,lunch,14,13554,6.637,2.437,10.13,8.098,10.066
+mask+tracker,walking,14,4697,25.178,18.563,57.321,23.714,28.605
+mask+tracker,working,14,8497,4.922,2.726,11.605,6.014,8.356
+mask+tracker,POOLED (incl. transient),15,64697,15.799,6.038,28.74,15.625,26.103
+mask+tracker,POOLED (excl. transient),15,47182,14.776,5.647,24.55,14.274,25.929
