method,subject,config,mae,mape
b2-zp,S1,-,12.253,15.184
b2-zp,S2,-,14.288,15.975
b2-zp,S3,-,18.51,19.49
b2-zp,S4,-,21.349,23.181
b2-zp,S5,-,45.874,34.653
b2-zp,S6,-,26.616,21.273
b2-zp,S7,-,8.746,9.485
b2-zp,S8,-,16.844,21.832
b2-zp,S9,-,26.046,27.705
b2-zp,S10,-,14.514,14.639
b2-zp,S11,-,26.182,22.883
b2-zp,S12,-,14.842,19.219
b2-zp,S13,-,8.98,9.333
b2-zp,S14,-,15.211,16.421
b2-zp,S15,-,14.38,16.155
+tracker,S1,"nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",13.442,16.27
+tracker,S2,"nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",16.687,18.221
+tracker,S3,"nearest_peak,prom=0.05,hist=6,jump=10.0,reset=3",12.592,13.031
+tracker,S4,"nearest_peak,prom=0.05,hist=6,jump=10.0,reset=2",20.6,22.01
+tracker,S5,"nearest_peak,prom=0.05,hist=6,jump=10.0,reset=2",34.124,24.231
+tracker,S6,"nearest_peak,prom=0.05,hist=6,jump=10.0,reset=2",12.333,10.27
+tracker,S7,"nearest_peak,prom=0.05,hist=6,jump=10.0,reset=2",10.296,10.721
+tracker,S8,"nearest_peak,prom=0.05,hist=6,jump=10.0,reset=2",16.269,20.815
+tracker,S9,"nearest_peak,prom=0.05,hist=6,jump=10.0,reset=2",24.876,25.711
+tracker,S10,"nearest_peak,prom=0.05,hist=6,jump=15.0,reset=3",8.865,8.186
+tracker,S11,"nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",26.337,22.198
+tracker,S12,"nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",14.157,17.164
+tracker,S13,"nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",19.517,19.033
+tracker,S14,"nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",13.241,13.677
+tracker,S15,"nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",19.58,20.761
+mask,S1,"K=1,prom=0.1,width=0.5,depth=0.2,gate=0.02",12.699,15.719
+mask,S2,"K=1,prom=0.1,width=0.5,depth=0.2,gate=0.02",14.33,16.062
+mask,S3,"K=1,prom=0.1,width=0.5,depth=0.2,gate=0.02",16.177,17.273
+mask,S4,"K=1,prom=0.1,width=0.5,depth=0.2,gate=0.02",21.77,23.612
+mask,S5,"K=1,prom=0.1,width=0.5,depth=0.2,gate=0.02",45.333,34.411
+mask,S6,"K=1,prom=0.1,width=0.5,depth=0.2,gate=0.02",25.815,20.598
+mask,S7,"K=1,prom=0.1,width=0.5,depth=0.2,gate=0.02",7.912,8.699
+mask,S8,"K=1,prom=0.1,width=0.5,depth=0.2,gate=0.02",16.573,21.444
+mask,S9,"K=1,prom=0.1,width=0.5,depth=0.2,gate=0.02",25.312,27.136
+mask,S10,"K=1,prom=0.1,width=0.5,depth=0.2,gate=0.02",14.485,14.616
+mask,S11,"K=1,prom=0.1,width=0.5,depth=0.2,gate=0.02",25.44,22.359
+mask,S12,"K=1,prom=0.1,width=0.5,depth=0.2,gate=0.02",14.624,19.036
+mask,S13,"K=1,prom=0.1,width=0.5,depth=0.2,gate=0.02",9.473,9.736
+mask,S14,"K=1,prom=0.1,width=0.5,depth=0.2,gate=0.02",15.243,16.442
+mask,S15,"K=1,prom=0.1,width=0.5,depth=0.2,gate=0.02",14.04,15.788
+mask+tracker,S1,"K=1,prom=0.1,width=2.0,depth=0.2,gate=0.02|nearest_peak,prom=0.05,hist=6,jump=25.0,reset=2",13.005,15.906
+mask+tracker,S2,"K=1,prom=0.1,width=2.0,depth=0.2,gate=0.02|nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",14.86,16.003
+mask+tracker,S3,"K=1,prom=0.1,width=2.0,depth=0.2,gate=0.02|nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",13.676,14.244
+mask+tracker,S4,"K=1,prom=0.1,width=2.0,depth=0.2,gate=0.02|nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",15.545,16.499
+mask+tracker,S5,"K=1,prom=0.1,width=2.0,depth=0.02,gate=0.02|nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",28.74,20.227
+mask+tracker,S6,"K=1,prom=0.1,width=2.0,depth=0.2,gate=0.02|nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",18.39,13.997
+mask+tracker,S7,"K=1,prom=0.1,width=2.0,depth=0.2,gate=0.02|nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",11.454,11.897
+mask+tracker,S8,"K=1,prom=0.1,width=2.0,depth=0.2,gate=0.02|nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",14.688,18.153
+mask+tracker,S9,"K=1,prom=0.1,width=2.0,depth=0.2,gate=0.02|nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",24.247,24.631
+mask+tracker,S10,"K=1,prom=0.1,width=2.0,depth=0.2,gate=0.02|nearest_peak,prom=0.05,hist=6,jump=25.0,reset=2",7.505,7.06
+mask+tracker,S11,"K=1,prom=0.1,width=2.0,depth=0.02,gate=0.02|nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",25.952,22.485
+mask+tracker,S12,"K=1,prom=0.1,width=2.0,depth=0.02,gate=0.02|nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",13.471,16.676
+mask+tracker,S13,"K=1,prom=0.1,width=2.0,depth=0.2,gate=0.02|nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",10.405,10.262
+mask+tracker,S14,"K=1,prom=0.1,width=2.0,depth=0.2,gate=0.02|nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",11.188,11.78
+mask+tracker,S15,"K=1,prom=0.1,width=2.0,depth=0.02,gate=0.02|nearest_peak,prom=0.05,hist=6,jump=25.0,reset=3",13.865,14.549
