subject,margin,bound_bpm,windows,windows_changed,share_changed,mae_before,mae_after
S1,0.0,41.69,4603,316,0.0687,12.253,10.862
S2,0.0,41.69,4099,233,0.0568,14.288,13.213
S3,0.0,41.69,4367,407,0.0932,18.51,16.204
S4,0.0,41.69,4572,391,0.0855,21.349,19.508
S5,0.0,41.69,4649,779,0.1676,45.874,40.719
S6,0.0,41.69,2622,244,0.0931,26.616,23.716
S7,0.0,41.69,4668,136,0.0291,8.746,8.027
S8,0.0,41.69,4037,393,0.0973,16.844,15.186
S9,0.0,41.69,4277,520,0.1216,26.046,23.73
S10,0.0,41.69,5321,313,0.0588,14.514,13.078
S11,0.0,41.69,4521,283,0.0626,26.182,24.435
S12,0.0,41.86,3954,588,0.1487,14.842,12.219
S13,0.0,41.69,4565,142,0.0311,8.98,8.106
S14,0.0,41.69,4476,441,0.0985,15.211,12.652
S15,0.0,41.69,3966,369,0.093,14.38,12.423
