method,subject,mae,mape,rmse
b2-zp,S1,12.253,15.184,19.785
b2-zp,S2,14.288,15.975,23.956
b2-zp,S3,18.51,19.49,29.223
b2-zp,S4,21.349,23.181,29.186
b2-zp,S5,45.874,34.653,61.798
b2-zp,S6,26.616,21.273,45.039
b2-zp,S7,8.746,9.485,17.9
b2-zp,S8,16.844,21.832,23.603
b2-zp,S9,26.046,27.705,35.352
b2-zp,S10,14.514,14.639,26.986
b2-zp,S11,26.182,22.883,40.644
b2-zp,S12,14.842,19.219,21.908
b2-zp,S13,8.98,9.333,19.463
b2-zp,S14,15.211,16.421,26.351
b2-zp,S15,14.38,16.155,24.7
+bound,S1,10.862,13.324,17.752
+bound,S2,13.213,14.692,22.409
+bound,S3,16.204,16.898,26.269
+bound,S4,19.508,21.066,26.893
+bound,S5,40.719,30.479,56.545
+bound,S6,23.716,18.867,41.092
+bound,S7,8.027,8.712,16.326
+bound,S8,15.186,19.585,21.76
+bound,S9,23.73,25.051,32.815
+bound,S10,13.078,13.09,24.825
+bound,S11,24.435,21.232,38.541
+bound,S12,12.219,15.746,18.337
+bound,S13,8.106,8.439,17.498
+bound,S14,12.652,13.598,22.43
+bound,S15,12.423,13.824,21.84
+tracker,S1,13.442,16.27,20.14
+tracker,S2,16.687,18.221,25.021
+tracker,S3,12.592,13.031,22.089
+tracker,S4,20.6,22.01,27.542
+tracker,S5,34.124,24.231,56.091
+tracker,S6,12.333,10.27,24.208
+tracker,S7,10.296,10.721,19.322
+tracker,S8,16.269,20.815,22.637
+tracker,S9,24.876,25.711,33.698
+tracker,S10,8.865,8.186,21.832
+tracker,S11,26.337,22.198,41.302
+tracker,S12,14.157,17.164,22.586
+tracker,S13,19.517,19.033,31.961
+tracker,S14,13.241,13.677,22.311
+tracker,S15,19.58,20.761,29.722
+mask,S1,12.699,15.719,21.1
+mask,S2,14.33,16.062,24.376
+mask,S3,16.177,17.273,27.153
+mask,S4,21.77,23.612,29.778
+mask,S5,45.333,34.411,61.569
+mask,S6,25.815,20.598,44.302
+mask,S7,7.912,8.699,17.029
+mask,S8,16.573,21.444,23.401
+mask,S9,25.312,27.136,34.568
+mask,S10,14.485,14.616,27.013
+mask,S11,25.44,22.359,39.97
+mask,S12,14.624,19.036,21.885
+mask,S13,9.473,9.736,20.468
+mask,S14,15.243,16.442,26.631
+mask,S15,14.04,15.788,24.723
+mask+tracker,S1,13.005,15.906,21.087
+mask+tracker,S2,14.86,16.003,25.317
+mask+tracker,S3,13.676,14.244,23.705
+mask+tracker,S4,15.545,16.499,21.9
+mask+tracker,S5,28.74,20.227,48.605
+mask+tracker,S6,18.39,13.997,36.426
+mask+tracker,S7,11.454,11.897,20.185
+mask+tracker,S8,14.688,18.153,21.507
+mask+tracker,S9,24.247,24.631,34.298
+mask+tracker,S10,7.505,7.06,18.026
+mask+tracker,S11,25.952,22.485,39.305
+mask+tracker,S12,13.471,16.676,21.274
+mask+tracker,S13,10.405,10.262,18.25
+mask+tracker,S14,11.188,11.78,18.188
+mask+tracker,S15,13.865,14.549,23.469
+mask+tracker+bound,S1,9.735,11.797,15.812
+mask+tracker+bound,S2,10.971,12.075,18.176
+mask+tracker+bound,S3,11.083,11.599,18.84
+mask+tracker+bound,S4,14.956,15.843,20.94
+mask+tracker+bound,S5,24.21,17.243,40.744
+mask+tracker+bound,S6,12.337,9.202,27.942
+mask+tracker+bound,S7,11.206,11.633,19.63
+mask+tracker+bound,S8,9.682,12.443,13.637
+mask+tracker+bound,S9,18.017,18.495,25.936
+mask+tracker+bound,S10,7.31,6.801,17.722
+mask+tracker+bound,S11,22.699,19.455,35.028
+mask+tracker+bound,S12,9.073,11.341,14.397
+mask+tracker+bound,S13,10.405,10.262,18.25
+mask+tracker+bound,S14,11.015,11.542,17.665
+mask+tracker+bound,S15,11.912,12.39,20.755
+mask+tracker+bound+rankreset,S1,9.286,11.533,16.16
+mask+tracker+bound+rankreset,S2,12.236,13.298,21.369
+mask+tracker+bound+rankreset,S3,9.034,9.73,15.856
+mask+tracker+bound+rankreset,S4,15.432,16.326,21.75
+mask+tracker+bound+rankreset,S5,23.88,17.744,40.073
+mask+tracker+bound+rankreset,S6,13.098,10.674,26.661
+mask+tracker+bound+rankreset,S7,7.992,8.87,14.214
+mask+tracker+bound+rankreset,S8,11.09,14.135,15.618
+mask+tracker+bound+rankreset,S9,19.994,20.839,28.099
+mask+tracker+bound+rankreset,S10,9.538,9.154,20.808
+mask+tracker+bound+rankreset,S11,16.951,15.06,28.038
+mask+tracker+bound+rankreset,S12,8.357,10.638,13.289
+mask+tracker+bound+rankreset,S13,10.186,10.422,17.971
+mask+tracker+bound+rankreset,S14,11.341,12.111,18.944
+mask+tracker+bound+rankreset,S15,9.048,9.559,17.826
